Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02,2416.9658568334976,2426.452459617343,2391.5063762065224,2396.712890625,131296,0.0,0.0
2023-01-03,2384.6228431114837,2417.8920927499694,2384.44639127943,2400.683837890625,136701,0.0,0.0
2023-01-04,2388.859180973234,2407.3911509770896,2380.6962894239164,2390.888916015625,178937,0.0,0.0
2023-01-05,2389.6530730605386,2445.425644570965,2384.4465586859505,2441.939697265625,258988,0.0,0.0
2023-01-06,2441.807173374959,2449.1759223288486,2412.4648934636043,2420.230712890625,162618,0.0,0.0
2023-01-09,2432.982571268552,2446.5725944827636,2418.2011211166664,2428.879150390625,110658,0.0,0.0
2023-01-10,2426.8052997342497,2433.9092637921453,2371.8270856725057,2393.3154296875,206381,0.0,0.0
2023-01-11,2393.3597569393946,2400.33122099768,2368.6062981332702,2377.166259765625,150551,0.0,0.0
2023-01-12,2373.856904460889,2382.946436812907,2350.0300879477127,2377.607421875,163626,0.0,0.0
2023-01-13,2367.944198751524,2422.3045062542096,2367.944198751524,2407.787841796875,196440,0.0,0.0
2023-01-16,2410.9206205805604,2440.0422825421847,2391.50617927281,2434.39453125,362194,0.0,0.0
2023-01-17,2440.042384561641,2443.572283128819,2408.890986616715,2441.675048828125,254062,0.0,0.0
2023-01-18,2441.7188098533975,2458.8831126565547,2424.554722498134,2444.410400390625,159791,0.0,0.0
2023-01-19,2437.394890743425,2453.0588151861098,2428.217240911098,2444.0576171875,140565,0.0,0.0
2023-01-20,2442.248497016612,2442.248497016612,2408.582176633467,2423.67236328125,300399,0.0,0.0
2023-01-23,2428.0852276974274,2481.519119538095,2426.8498491655987,2448.5146484375,434312,0.0,0.0
2023-01-24,2450.6322990510057,2459.4570462568067,2437.6157969224487,2446.131591796875,129633,0.0,0.0
2023-01-25,2452.397046643571,2464.7516917148228,2440.924876220265,2457.69189453125,356744,0.0,0.0
2023-01-27,2460.339157350541,2479.8419319721133,2395.5656086123654,2414.582763671875,464092,0.0,0.0
2023-01-30,2403.022529797726,2439.998129776759,2366.002762998613,2384.711181640625,459196,0.0,0.0
2023-01-31,2404.2582284955106,2446.2199448820456,2369.091739869771,2438.498291015625,579601,0.0,0.0
2023-02-01,2449.3523243866653,2491.093414441837,2360.663630516853,2406.728759765625,408279,0.0,0.0
