Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0,BBU_20_2.0,BBL_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,OBV
2023-01-02,782.8598948008254,788.994783343364,778.7940509867589,783.6778564453125,4381378,0.0,0.0,,,783.6778564453125,0.0,0.0,0.0,0.0,,,,,,10.200732356605158,0.0
2023-01-03,780.5503292014555,790.5586422632767,780.5503292014555,788.8023681640625,8378030,0.0,0.0,,,784.1659051804315,99.99999997268033,0.4087929576210172,0.08175859152420345,0.32703436609681374,,,,,,10.18698812126345,8378030.0
2023-01-04,786.709274515468,791.8818278494382,773.2365774595456,774.7041625976562,10351600,0.0,0.0,,,783.2647868392148,25.234956428592056,-0.40022944791758164,-0.01463901636415356,-0.3855904315534281,,,,,,10.791149711879815,-1973570.0
2023-01-05,777.085950452134,778.5535356487463,764.7680672572426,769.7240600585938,10941436,0.0,0.0,,,781.975193812489,19.646990440634184,-1.426791028616094,-0.2970694188145417,-1.1297216098015523,,,,,,11.005029617567237,-12915006.0
2023-01-06,770.8307523930382,774.2470317456477,759.3789361975485,767.1738891601562,9092462,0.0,0.0,,,780.5655457503622,17.5089014508886,-2.418249876860841,-0.7213055104238016,-1.6969443664370396,,,,,,11.280962898319526,-22007468.0
2023-01-09,767.9437756748827,775.4259581366615,765.0567689994132,768.66552734375,10729340,0.0,0.0,,,779.4322106640182,22.80091316070714,-3.048484391445527,-1.1867412866281468,-1.86174310481738,,,,,,11.215836201100155,-11278128.0
2023-01-10,769.8684118966518,769.8684118966518,753.0275403864125,754.6154174804688,16371766,0.0,0.0,,,777.0687065512992,13.812451293212831,-4.6283237934879935,-1.8750577880001162,-2.7532660054878773,,,,,,11.617624437467233,-27649894.0
2023-01-11,754.4469115539331,768.9060251968651,750.6216516314828,765.48974609375,15195798,0.0,0.0,,,775.965948412485,35.12804900392035,-4.94587746646755,-2.489221723693603,-2.4566557427739473,,,,,,12.093820803746885,-12454096.0
2023-01-12,763.998177755398,771.7449667913606,762.2419037187744,769.5797119140625,9250070,0.0,0.0,,,775.3577354126353,41.03482482501293,-4.812044723546592,-2.953786323664201,-1.858258399882391,,,,,,11.908766680092551,-3204026.0
2023-01-13,769.2669828560861,774.6320153125537,763.1320937043018,770.1812133789062,9244546,0.0,0.0,,,774.864733314185,41.87307294338009,-4.604368871087672,-3.283902833148895,-1.3204660379387771,,,,,,11.879563460675357,6040520.0
2023-01-16,777.0858851595061,780.1172653577423,760.3893883970367,762.7952270507812,14748094,0.0,0.0,,,773.715256527194,35.24700727330935,-4.978383920309852,-3.6227990505810865,-1.3555848697287658,,,,,,12.440157282106092,-8707574.0
2023-01-17,764.960465126677,775.1611973011755,759.0420786732492,774.1507568359375,10786354,0.0,0.0,,,773.7567327470744,48.690258469096065,-4.308827706265674,-3.7600047817180045,-0.5488229245476699,,,,,,12.70294023537897,2078780.0
2023-01-18,772.274237215273,789.884965083016,769.724024650822,787.8159790039062,19090642,0.0,0.0,,,775.0957085810583,59.56849219413725,-2.64503998435589,-3.537011822245582,0.8919718378896921,,,,,,13.235654535151474,21169422.0
2023-01-19,787.6716113274065,793.9267921137573,785.7469403162216,791.087890625,11172162,0.0,0.0,,,776.6187735376241,61.66420873515457,-1.0503524947454252,-3.039679956745551,1.9893274620001256,,,,,,12.874525768178916,32341584.0
2023-01-20,791.0878917418223,803.068980550622,790.7510978089086,799.195556640625,18843404,0.0,0.0,,,778.7689433569575,66.3225450205401,0.8577817447400093,-2.260187616448439,3.1179693611884485,,,,,,12.834765552002805,51184988.0
2023-01-23,801.7458215030824,809.6129030380878,799.4121694938297,805.0418090820312,15444400,0.0,0.0,,,781.2711210450598,69.22637668287896,2.8093511385828833,-1.2462798654421747,4.055631004025058,,,,,,12.662092755249946,66629388.0
2023-01-24,805.9800889805086,819.1400156177996,805.9560070977172,815.8199462890625,24983940,0.0,0.0,,,784.5614853540125,73.7245232633401,5.166137521914379,0.03620361202913602,5.129933909885243,,,,,,12.76467231100126,91613328.0
2023-01-25,813.8471429635326,814.5929177332151,791.6653214666925,793.2772216796875,14704142,0.0,0.0,,,785.3915554802672,55.46398987663809,5.155469192187979,1.0600567280609046,4.095412464127075,,,,,,13.578240347527599,76909186.0
2023-01-27,785.2657804091282,787.6716191971464,765.032652707376,777.4708862304688,35179948,0.0,0.0,,,784.6372060279054,46.72501640482704,3.827454776171976,1.613536337683119,2.213918438488857,,,,,,14.625835249297879,41729238.0
2023-01-30,767.4625666928607,782.0419731157772,761.2073858984988,776.6769409179688,18512822,0.0,0.0,,,783.8790855412449,46.33014376889487,2.6800352540661834,1.8268361209597321,0.8531991331064512,779.7973083496094,810.7924690576747,748.802147641544,7.9495428815122695,0.4496636352191326,15.069317532725055,23216416.0
2023-01-31,779.3473843212695,780.7908875770869,767.4625643428925,771.552490234375,18596244,0.0,0.0,,,782.7051240834478,43.75961493155501,1.3417300439921291,1.7298149055662115,-0.3880848615740824,779.1910400390625,810.340567658044,748.041512420081,7.995350567023964,0.3773889944952079,14.944960797115721,4620172.0
2023-02-01,781.4164646974513,801.1443434244188,772.7554447685386,783.1246337890625,17302790,0.0,0.0,,,782.7450773887444,50.44596395528358,1.201043908906513,1.6240607062342718,-0.42301679732775876,778.9071533203125,809.7902121570515,748.0240944835735,7.929843423594507,0.5682814563639652,15.991167396610585,21922962.0
2023-02-02,773.7658936298407,781.6570569523664,764.4553088538455,771.4803466796875,17497106,0.0,0.0,,,781.6722458926438,44.68862820791787,0.14824361874502756,1.328897288736423,-1.1806536699913954,778.745962524414,809.7547845669023,747.7371404819257,7.9637837073257804,0.3828459875900885,16.1824643636539,4425856.0
2023-02-03,775.1612302770866,798.9790334420251,773.2365593142633,798.1610717773438,14411100,0.0,0.0,,,783.2426102626152,56.84263464663354,1.450087631465749,1.3531353572822882,0.09695227418346075,780.1678131103515,812.030898574399,748.3047276463041,8.16826455247278,0.7823527352242235,16.990765963559877,18836956.0
2023-02-06,798.7384939446326,803.2614827057959,792.0983552594887,794.7688598632812,11167672,0.0,0.0,,,784.3403483198215,55.18237708317689,2.182921874709564,1.5190926607677433,0.6638292139418205,781.5475616455078,813.4313684870813,749.6637548039344,8.15914690449389,0.7073356278219479,16.574506069470395,7669284.0
