Date,Free Cash Flow,Capital Expenditure,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Net Other Financing Charges,Interest Paid Cff,Cash Dividends Paid,Investing Cash Flow,Net Other Investing Changes,Interest Received Cfi,Dividends Received Cfi,Net Investment Purchase And Sale,Sale Of Investment,Purchase Of Investment,Net Intangibles Purchase And Sale,Purchase Of Intangibles,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Operating Cash Flow,Taxes Refund Paid,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payable,Change In Inventory,Change In Receivables,Other Non Cash Items,Deferred Tax,Depreciation And Amortization,Amortization Cash Flow,Depreciation,Gain Loss On Investment Securities,Net Foreign Currency Exchange Gain Loss,Gain Loss On Sale Of PPE,Net Income From Continuing Operations
2025-06-30,110610000000.0,-8580000000.0,64430000000.0,83420000000.0,3040000000.0,-22030000000.0,-115020000000.0,-10760000000.0,-1750000000.0,-97780000000.0,-26200000000.0,-5520000000.0,9530000000.0,120000000.0,-14330000000.0,373160000000.0,-387490000000.0,-330000000.0,-330000000.0,-8170000000.0,80000000.0,-8250000000.0,119190000000.0,-24570000000.0,-25470000000.0,9480000000.0,-11410000000.0,70000000.0,-40000000.0,-23570000000.0,-12370000000.0,41600000000.0,13610000000.0,2430000000.0,11180000000.0,-1440000000.0,-620000000.0,10000000.0,128190000000.0
2024-09-30,107700000000.0,-8120000000.0,81550000000.0,76690000000.0,2330000000.0,2530000000.0,-42300000000.0,,-1610000000.0,-36180000000.0,-70990000000.0,0.0,4310000000.0,90000000.0,-67330000000.0,325050000000.0,-392380000000.0,-520000000.0,-520000000.0,-7540000000.0,60000000.0,-7600000000.0,115820000000.0,-49280000000.0,-520000000.0,9350000000.0,-6340000000.0,8050000000.0,-10000000.0,-11570000000.0,-6440000000.0,40770000000.0,12660000000.0,,12660000000.0,-780000000.0,-270000000.0,-60000000.0,119550000000.0
