Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02,2014.5654530114318,2019.0897262881256,1997.3836956834186,2011.24462890625,807344,0.0,0.0
2023-01-03,2009.849153943059,2018.319829561768,1990.5495496931912,2010.7635498046875,1260225,0.0,0.0
2023-01-04,2012.6886085228136,2022.7956081559923,1980.971928103061,1993.05224609375,1015547,0.0,0.0
2023-01-05,2002.1485169336402,2020.6298408586247,1991.0789458063628,2009.2235107421875,1881403,0.0,0.0
2023-01-06,2011.9666606926087,2042.2876593015144,1994.303616790358,2008.453369140625,1877917,0.0,0.0
2023-01-09,2029.1004170884403,2047.678091247347,2022.1217747621163,2042.28759765625,1844365,0.0,0.0
2023-01-10,2052.1058306610507,2052.1058306610507,2018.7046507814632,2027.8009033203125,1425414,0.0,0.0
2023-01-11,2027.27164865881,2059.902723976771,2018.6085063617113,2045.8011474609375,1455621,0.0,0.0
2023-01-12,2038.8225695435297,2083.6300800619115,2038.8225695435297,2078.91357421875,2726901,0.0,0.0
2023-01-13,2080.9831268684957,2083.8229006524825,2037.9562299896563,2072.80126953125,2180210,0.0,0.0
2023-01-16,2066.6407661163144,2080.116765522755,2052.4910137401075,2057.20751953125,1009649,0.0,0.0
2023-01-17,2059.8064316719865,2134.7908842536053,2056.437431793555,2130.266845703125,4645453,0.0,0.0
2023-01-18,2137.8709722452018,2189.657357970111,2117.656973858372,2181.66796875,4090049,0.0,0.0
2023-01-19,2175.26716861958,2198.320707669915,2157.1226029249615,2188.021240234375,2176835,0.0,0.0
2023-01-20,2197.0211204027964,2211.6521591848536,2154.667977347857,2165.737548828125,1962410,0.0,0.0
2023-01-23,2170.5986063598334,2188.213710786727,2143.646605926097,2149.9033203125,1466706,0.0,0.0
2023-01-24,2160.684075597296,2167.9997125804357,2117.6571790062285,2124.87646484375,1036962,0.0,0.0
2023-01-25,2118.6196296386524,2122.4699151991044,2074.3413456934554,2093.303955078125,2134447,0.0,0.0
2023-01-27,2093.303808767432,2112.844053621524,2047.4855548021733,2079.009765625,1647900,0.0,0.0
2023-01-30,2049.6993216744104,2091.908169022645,2005.8062094804284,2033.81689453125,3441304,0.0,0.0
2023-01-31,2040.6030791177823,2052.9240393541745,1995.0734074254208,2044.886474609375,4516463,0.0,0.0
2023-02-01,2053.164799099881,2133.0100498420975,2002.4373332487905,2065.2451171875,6868872,0.0,0.0
2023-02-02,2055.6676583883864,2085.8441319884814,2028.9563009657668,2064.619384765625,3488506,0.0,0.0
2023-02-03,2095.469877625793,2100.186618747211,2051.2879419338315,2085.459228515625,2045634,0.0,0.0
2023-02-06,2083.2450088525175,2099.945715492456,2062.1166150794484,2075.400146484375,1332484,0.0,0.0
2023-02-07,2081.319725864124,2090.704795734479,2069.576403385871,2084.255615234375,1089248,0.0,0.0
2023-02-08,2079.6837839198993,2093.833537170533,2045.9937833218214,2051.095458984375,1452145,0.0,0.0
2023-02-09,2069.5284142909927,2071.4053814336326,2055.7635969070147,2067.025634765625,1563181,0.0,0.0
2023-02-10,2060.0953954898473,2088.7318964776473,2057.544675117263,2082.8603515625,1454665,0.0,0.0
