Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02,2410.9613802003278,2437.640051210741,2407.651152303148,2410.71435546875,162920,0.0,0.0
2023-01-03,2411.011028658502,2423.806862543538,2399.1043873851245,2413.62939453125,356701,0.0,0.0
2023-01-04,2420.5463042001006,2453.8946486484374,2370.449728342514,2380.627197265625,590726,0.0,0.0
2023-01-05,2378.8483899894936,2416.297246343051,2347.0811029993592,2411.1591796875,347565,0.0,0.0
2023-01-06,2406.218659840334,2427.8087196933257,2371.437622950745,2387.19775390625,203880,0.0,0.0
2023-01-09,2399.153836406471,2441.9385715533936,2396.634135697677,2435.318115234375,291084,0.0,0.0
2023-01-10,2440.5059561790363,2458.390647010265,2378.8486666709055,2390.162353515625,341404,0.0,0.0
2023-01-11,2400.0925745549184,2429.6860926347454,2359.629967006131,2366.44775390625,327925,0.0,0.0
2023-01-12,2372.4257511578717,2382.603219328645,2325.145116474362,2336.26123046875,283433,0.0,0.0
2023-01-13,2343.820208526705,2356.6160419329476,2334.7789582159653,2339.02783203125,331339,0.0,0.0
2023-01-16,2348.118605646308,2352.169908451914,2326.4793318420634,2333.297119140625,180024,0.0,0.0
2023-01-17,2333.889906731205,2343.4744190664396,2298.7134848012442,2318.080322265625,231181,0.0,0.0
2023-01-18,2320.254135796812,2341.7947432858746,2302.270781373877,2336.854248046875,217218,0.0,0.0
2023-01-19,2329.443676327195,2389.2236731109897,2325.2442550655237,2362.693115234375,422029,0.0,0.0
2023-01-20,2364.520969187249,2374.4019594471206,2322.576213781117,2327.566162109375,199568,0.0,0.0
2023-01-23,2321.0942618267077,2335.866295269307,2262.746961153432,2295.798828125,305955,0.0,0.0
2023-01-24,2302.270715866068,2324.6018502049938,2291.6981046024607,2307.90283203125,178454,0.0,0.0
2023-01-25,2296.4407948059056,2302.221028742674,2131.6258468220353,2139.92578125,1224929,0.0,0.0
2023-01-27,2150.6469905439853,2151.091586860163,1711.9803541006124,1857.379150390625,4094621,0.0,0.0
2023-01-30,1897.15023793181,2043.0924241340178,1778.5783480610717,1881.4888916015625,3933685,0.0,0.0
2023-01-31,1902.090630026183,1990.377254106744,1865.5309659685367,1944.8753662109375,1733066,0.0,0.0
2023-02-01,1975.7040734774118,1984.5969650309485,1729.1733576321433,1824.4754638671875,4840022,0.0,0.0
2023-02-02,1986.079119462831,1986.079119462831,1745.9710468113544,1819.33740234375,3416062,0.0,0.0
2023-02-03,1823.0427277454748,1916.1710622116054,1675.717185090206,1903.81982421875,4096049,0.0,0.0
2023-02-06,1906.0431296706436,1964.3409755237114,1857.6262746401294,1946.110595703125,1358051,0.0,0.0
2023-02-07,1946.5551391964548,2041.0667173542545,1941.9111218829596,1970.3189697265625,2473866,0.0,0.0
2023-02-08,1987.561237148215,2017.6982581439995,1928.7693437302091,1950.260498046875,1359558,0.0,0.0
2023-02-09,1945.5668773929858,1945.5668773929858,1868.5446107122339,1893.1976318359375,1491436,0.0,0.0
2023-02-10,1877.3882017006101,1896.6561332443794,1849.7214282018642,1858.021484375,1157601,0.0,0.0
2023-02-13,1858.0707604641836,1880.7970380043243,1775.7621841784685,1801.4527587890625,1145107,0.0,0.0
2023-02-14,1803.280727096994,1836.727855089775,1749.4787832396712,1808.5177001953125,1159351,0.0,0.0
2023-02-15,1797.3521586274082,1842.5576898298293,1789.644937847513,1830.107666015625,723678,0.0,0.0
2023-02-16,1842.8047550450901,1867.7542564203654,1806.936710761531,1819.732666015625,931391,0.0,0.0
2023-02-17,1818.1022347149142,1843.3482134494193,1790.9789642973049,1817.5093994140625,882626,0.0,0.0
2023-02-20,1802.2927454029461,1840.7298242392742,1790.435556288453,1828.6256103515625,462228,0.0,0.0
2023-02-21,1836.135114255314,1846.1148908335254,1798.340324469082,1806.640380859375,576509,0.0,0.0
2023-02-22,1803.2807024400547,1805.256900470126,1699.332734305327,1731.3470458984375,1237245,0.0,0.0
2023-02-23,1731.3470224118,1739.0047896744445,1701.8029587570593,1706.990478515625,708163,0.0,0.0
2023-02-24,1720.8733019467552,1728.9757866242373,1685.6969994693823,1709.411376953125,753146,0.0,0.0
2023-02-27,1697.554221530961,1706.4471132619149,1639.2563757391526,1674.63037109375,871143,0.0,0.0
2023-02-28,1674.6301867926345,1752.3440744835202,1651.854457230134,1711.0909423828125,2034912,0.0,0.0
2023-03-01,1718.9957784445196,1754.9132735131657,1714.994049873452,1748.3917236328125,626061,0.0,0.0
2023-03-02,1747.8977975289058,1785.1985373338982,1712.4744700760214,1779.9122314453125,1273916,0.0,0.0
2023-03-03,1827.9831030536236,1893.4941133181871,1808.221123561152,1871.5089111328125,2157584,0.0,0.0
2023-03-06,1882.328773132546,1909.3039266323376,1832.9238184571511,1843.5953369140625,1384486,0.0,0.0
2023-03-08,1842.903484668398,1871.21254612336,1823.8332456777812,1864.048828125,690084,0.0,0.0
2023-03-09,1873.3370068152,1873.435792596361,1826.846898419622,1837.9630126953125,576543,0.0,0.0
2023-03-10,1825.018951797462,1836.5303298941417,1798.142705789537,1824.920166015625,402781,0.0,0.0
2023-03-13,1843.7434861678357,1844.5834669054398,1744.0443824569218,1748.9354248046875,759896,0.0,0.0
2023-03-14,1756.790795984613,1762.1760086015408,1675.8161207102914,1717.7115478515625,903268,0.0,0.0
2023-03-15,1737.0781414163525,1739.3013642935919,1693.700568710259,1719.2923583984375,672348,0.0,0.0
2023-03-16,1714.35188463083,1748.935352044132,1699.6291843799404,1729.4698486328125,370585,0.0,0.0
