Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02,1388.5308744976214,1399.9949669224698,1379.4055017090532,1397.7021484375,3801140,0.0,0.0
2023-01-03,1393.8960033950495,1405.6352784494222,1389.5396484110163,1396.372314453125,4551130,0.0,0.0
2023-01-04,1394.9506886748184,1394.9506886748184,1367.5285587288681,1370.9219970703125,7059590,0.0,0.0
2023-01-05,1381.1022918875108,1381.1022918875108,1347.48954741884,1352.9464111328125,9868404,0.0,0.0
2023-01-06,1348.1773465478836,1352.7629837810398,1326.6248515520501,1328.4591064453125,6443714,0.0,0.0
2023-01-09,1328.1837010555696,1365.9235115565782,1328.1837010555696,1361.4295654296875,11498717,0.0,0.0
2023-01-10,1359.1826856249468,1360.9252499203978,1333.5490218618731,1347.9478759765625,7158624,0.0,0.0
2023-01-11,1348.177199215431,1370.1882555291525,1342.674435137001,1349.3236083984375,6173092,0.0,0.0
2023-01-12,1359.1370254896133,1361.9343090878735,1334.4204846618559,1357.89892578125,6591385,0.0,0.0
2023-01-13,1360.5586764335903,1393.4835768048276,1346.3431998682242,1379.038818359375,11610426,0.0,0.0
2023-01-16,1384.8622850026118,1401.3705771417158,1377.800449258048,1399.0777587890625,6073063,0.0,0.0
2023-01-17,1400.453510280707,1414.393801685257,1397.7021281387017,1411.9176025390625,5922644,0.0,0.0
2023-01-18,1416.7324581195912,1423.2440398411995,1412.0092299289386,1417.32861328125,5843098,0.0,0.0
2023-01-19,1412.284436925683,1421.1347382958118,1399.6739357893398,1411.3673095703125,6165284,0.0,0.0
2023-01-20,1410.5419708855652,1416.9618628206752,1397.7021870153455,1399.123779296875,6496429,0.0,0.0
2023-01-23,1407.7906002862817,1424.574076980102,1401.4623986498889,1419.7132568359375,4855020,0.0,0.0
2023-01-24,1430.7187486357645,1438.7895145635266,1421.3181927553053,1423.2900390625,5200802,0.0,0.0
2023-01-25,1418.796195425156,1427.050342651288,1411.2298938012013,1415.127685546875,4158617,0.0,0.0
2023-01-27,1417.8789993665666,1422.4187353397176,1382.477903144469,1393.254150390625,6209955,0.0,0.0
2023-01-30,1402.104482387963,1416.0447747672706,1394.0337160921317,1411.2757568359375,6964719,0.0,0.0
2023-01-31,1420.5385444147953,1420.5385444147953,1387.6136508633863,1406.64404296875,9448126,0.0,0.0
2023-02-01,1414.39393960966,1426.1791171637,1401.4166754709465,1422.556396484375,6194199,0.0,0.0
2023-02-02,1423.3816939621152,1455.4352511160564,1423.3816939621152,1452.50048828125,6916834,0.0,0.0
2023-02-03,1465.1110731830363,1471.6685567151628,1442.6414510904015,1466.8536376953125,7040194,0.0,0.0
2023-02-06,1465.569600374364,1465.569600374364,1432.186140277909,1439.75244140625,4570612,0.0,0.0
2023-02-07,1438.972940534242,1445.4387337102248,1426.2248468410608,1432.919921875,4336238,0.0,0.0
2023-02-08,1435.7629765999538,1470.1552548640857,1435.7629765999538,1458.691162109375,7983338,0.0,0.0
2023-02-09,1463.9187005529932,1485.5170954490195,1454.6099470732718,1482.9949951171875,6904911,0.0,0.0
2023-02-10,1479.2803876184373,1482.352853540828,1464.1477876403842,1475.2451171875,4786762,0.0,0.0
2023-02-13,1464.6525528112115,1464.6525528112115,1436.2216015669112,1437.5513916015625,4001199,0.0,0.0
2023-02-14,1453.3716512253498,1463.7352349511611,1447.3645343194853,1461.213134765625,5043736,0.0,0.0
2023-02-15,1452.7298068628425,1466.48671791268,1445.3927876362625,1464.6983642578125,3465747,0.0,0.0
2023-02-16,1467.4039353614166,1480.656382371035,1465.4320889324677,1469.0548095703125,4290289,0.0,0.0
2023-02-17,1461.901041196995,1462.8181685754123,1444.934184696277,1452.54638671875,2857734,0.0,0.0
