source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
LiveMint_Markets,"<![CDATA[Stocks to buy: Sagar Doshi suggests Cyient, Timken India, JBM Auto shares to buy]]>","Indian equity markets opened lower on June 2, with the Nifty 50 down 0.66% and the Sensex falling 0.43%. Concerns over the Middle East conflict and foreign investor selling contributed to the decline, with significant losses in major sectoral indices and the broader market.",2026-06-02 09:54:33,,0.1,0.136,0.764,-0.3382,Negative
EconomicTimes_Markets,<![CDATA[Anthropic leads new wave of tech listings as AI sector captivates investors]]>,AI firm Anthropic is preparing for a major stock market debut. The company has filed confidentially for an initial public offering in the United States. This move signals strong investor interest in artificial intelligence companies. Anthropic's IPO could be a significant event for the tech sector. Other major tech firms are also planning public listings.,2026-06-02 09:44:45,,0.187,0.0,0.813,0.923,Positive
EconomicTimes_Markets,<![CDATA[Coca-Cola announces plans to list its largest bottler Hindustan Coca-Cola Holdings]]>,"Coca-Cola is exploring a public listing in India for the parent company of its largest bottler, Hindustan Coca-Cola Holdings (HCCH), with a potential 2027 debut on Indian stock exchanges. This move aims to complete the refranchising of HCCH and position it for growth in the Indian market. The company has appointed Rothschild & Co to advise on the listing.",2026-06-02 09:32:51,,0.04,0.0,0.96,0.4389,Positive
EconomicTimes_Markets,"<![CDATA[Sensex falls over 400 points, Nifty below 23,250 amid US-Iran tensions, persistent FII selling]]>","Indian stock markets experienced a significant downturn on Tuesday. Both the Sensex and Nifty indices saw substantial declines. This drop was influenced by renewed tensions concerning the Iran-US conflict and continued selling by foreign institutional investors. Several major stocks, including Bajaj Finance, faced losses. However, IT stocks showed resilience, moving against the general trend.",2026-06-02 09:25:26,,0.111,0.158,0.73,-0.5848,Negative
LiveMint_Markets,"<![CDATA[Gold rate today: MCX gold price rises above  ₹1.59 lakh per 10 grams, silver flat amid uncertainty over US-Iran talks]]>",Gold rate today: Gold prices in the international market were steady as investors awaited further details on the status of the US-Iran talks amid conflicting news.,2026-06-02 09:09:04,,0.0,0.131,0.869,-0.6696,Negative
EconomicTimes_Markets,"<![CDATA[India in “peak pessimism” phase, but cyclical recovery may lift earnings: Arbind Maheswari]]>","Indian markets are navigating slow earnings growth and valuation worries. However, experts see early signs of a cyclical recovery. Despite current challenges, a shift in global capital flows and domestic growth drivers could lead to modest returns. Investors are looking towards sectors like energy security and defence for future opportunities as the AI trade potentially fades.",2026-06-02 09:00:00,,0.245,0.058,0.697,0.9438,Positive
LiveMint_News,"<![CDATA[Iowa mass shooting: Suspect kills 6, then shoots self after domestic-related dispute]]>",Iowa mass shooting: Muscatine Police Department said in a statement that the preliminary investigation into the gun violence in Iowa indicated the shootings ‘stemmed from a domestic-related dispute.’,2026-06-02 08:55:38,,0.0,0.303,0.697,-0.9348,Negative
LiveMint_News,<![CDATA[Trump's $1.8 billion govt ‘weaponization’ compensation fund put on hold after backlash from fellow Republicans]]>,The compensation fund was labeled as political slush fund with allegations that it could provide financial benefits to the individuals who were convicted in the January 6 Capitol riots.,2026-06-02 08:05:34,,0.054,0.075,0.872,-0.2481,Negative
GoogleNews,LIC Employees Can Be Engaged As Enumerators & Supervisors For Census Duties: Allahabad High Court - Live Law,LIC Employees Can Be Engaged As Enumerators & Supervisors For Census Duties: Allahabad High Court  Live Law,2026-06-02 07:21:31,,0.141,0.0,0.859,0.6597,Positive
GoogleNews,LIC Employees Can Be Engaged As Enumerators & Supervisors For Census Duties: Allahabad High Court - Live Law,LIC Employees Can Be Engaged As Enumerators & Supervisors For Census Duties: Allahabad High Court  Live Law,2026-06-02 07:21:31,,0.141,0.0,0.859,0.6597,Positive
GoogleNews,LIfe Insurance Corporation of India explores FinTech foray - IBS Intelligence,LIfe Insurance Corporation of India explores FinTech foray  IBS Intelligence,2026-06-02 07:19:57,,0.246,0.0,0.754,0.7351,Positive
GoogleNews,HC uphols direction for entrusting census duties to employees of LIC - ThePrint,HC uphols direction for entrusting census duties to employees of LIC  ThePrint,2026-06-02 00:45:43,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Permits filed for mixed-use building with 99 units in LIC - qns.com,Permits filed for mixed-use building with 99 units in LIC  qns.com,2026-06-01 19:45:20,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Vignesh Shivan blames critics for LIC's failure: Is he missing the point? - The Federal,Vignesh Shivan blames critics for LIC's failure: Is he missing the point?  The Federal,2026-06-01 15:10:04,,0.0,0.502,0.498,-0.9593,Negative
GoogleNews,"LIC Exploring Fintech Arm, Evaluates Strategic Investment and Digital Expansion Plans - Daily Pioneer","LIC Exploring Fintech Arm, Evaluates Strategic Investment and Digital Expansion Plans  Daily Pioneer",2026-06-01 12:48:47,,0.0,0.0,1.0,0.0,Neutral
