Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-02,2893.1606175778406,2898.350826761541,2870.27080304208,2893.559814453125,709547,0.0,0.0
2023-01-03,2885.176105207512,2945.505740863758,2879.2319050146616,2937.83154296875,1245178,0.0,0.0
2023-01-04,2933.7060761454604,2952.026897843551,2915.518464493648,2940.75927734375,1231668,0.0,0.0
2023-01-05,2954.554527383416,2960.853736434739,2911.7471110010797,2937.609130859375,1826057,0.0,0.0
2023-01-06,2927.761408654629,2929.1366126366033,2839.0413659681253,2849.28857421875,2488376,0.0,0.0
2023-01-09,2864.769866636173,2951.7154990085314,2857.8052574024236,2945.460693359375,2885060,0.0,0.0
2023-01-10,2914.4535626153415,2925.9871687992077,2865.7463431410715,2915.695556640625,3864655,0.0,0.0
2023-01-11,2918.978313377468,2971.6779339396694,2902.1656914177715,2953.22412109375,2720512,0.0,0.0
2023-01-12,2953.4904512524913,2972.1216616689235,2941.557647901351,2958.237060546875,2250391,0.0,0.0
2023-01-13,2965.82207749045,2997.850097998453,2932.1972695723252,2993.902099609375,1742837,0.0,0.0
2023-01-16,3009.7358936031505,3042.401100769178,2992.5413358027226,3025.20654296875,1843607,75.0,0.0
2023-01-17,3021.5315322541833,3068.533178172047,3013.3652308156584,3065.447998046875,1688475,0.0,0.0
2023-01-18,3066.900207699576,3093.168435883575,3059.8681140280755,3075.973876953125,2421189,0.0,0.0
2023-01-19,3066.900147348573,3073.2517157010698,3049.6601761060806,3060.639404296875,1585044,0.0,0.0
2023-01-20,3053.289826586188,3080.1931683946414,3044.7606657549622,3051.56591796875,1529349,0.0,0.0
2023-01-23,3074.1590576682065,3102.2874315724907,3044.760458713778,3098.567138671875,1067916,0.0,0.0
2023-01-24,3107.731573201867,3132.1850663852497,3100.7448925102035,3117.98486328125,1387863,0.0,0.0
2023-01-25,3108.003765663745,3116.805179945468,3089.5841740070796,3112.04150390625,874110,0.0,0.0
2023-01-27,3108.6390657488755,3126.7864041362013,3068.9871756775947,3095.073974609375,1785879,0.0,0.0
2023-01-30,3103.1946093031756,3138.082820181694,3071.935865803959,3115.580078125,1953798,0.0,0.0
2023-01-31,3129.5085196989075,3129.5085196989075,3040.5865611803533,3047.5732421875,2820375,0.0,0.0
2023-02-01,3051.4746055363516,3102.2871472877746,3044.2156710004338,3092.623779296875,2205161,0.0,0.0
2023-02-02,3109.5463294312503,3147.6557387794014,3103.285586505531,3139.852294921875,1813847,0.0,0.0
2023-02-03,3179.413449194556,3179.413449194556,3133.0469144504245,3159.7236328125,1804469,0.0,0.0
2023-02-06,3151.421045615969,3151.421045615969,3118.4838066080183,3139.44384765625,1138714,0.0,0.0
2023-02-07,3147.564931045713,3169.4325618085195,3140.7596793384228,3150.876953125,1455647,0.0,0.0
2023-02-08,3155.867395499648,3211.987903653968,3155.867395499648,3194.022216796875,1986946,0.0,0.0
2023-02-09,3189.3945752566206,3218.9748240809963,3180.5931608475644,3212.85009765625,1655427,0.0,0.0
2023-02-10,3193.9316229583487,3214.21136264031,3183.179236128962,3209.85595703125,1187821,0.0,0.0
2023-02-13,3220.2454270252683,3220.2454270252683,3151.6483944075726,3159.814697265625,1087939,0.0,0.0
2023-02-14,3180.32100923453,3198.332330949659,3171.2473401639604,3175.875,1579818,0.0,0.0
2023-02-15,3163.988673966141,3199.37598635062,3139.6257818298463,3194.521484375,1429449,0.0,0.0
2023-02-16,3200.463946070022,3243.8361208864717,3200.2825170256183,3228.456298828125,1618931,0.0,0.0
2023-02-17,3199.5118099570345,3211.0807383085594,3166.7105840645268,3176.82763671875,1061369,0.0,0.0
2023-02-20,3177.5989917656707,3195.746330382265,3153.145497284836,3164.2607421875,1296082,0.0,0.0
2023-02-21,3170.339772580638,3183.859450029968,3125.6519552367354,3131.322998046875,1139541,0.0,0.0
2023-02-22,3098.61223991111,3127.693390442905,3080.510316377622,3086.45361328125,1218430,0.0,0.0
2023-02-23,3104.1020890121345,3132.593320365543,3092.306319600513,3097.569091796875,1441570,0.0,0.0
2023-02-24,3105.463295514014,3115.852602482513,3068.987189496275,3085.455810546875,977592,0.0,0.0
2023-02-27,3075.973993457147,3075.973993457147,3008.828838437729,3023.210693359375,1128022,0.0,0.0
2023-02-28,3020.170662055617,3077.788458973307,2994.2198806605948,3005.970458984375,4116217,0.0,0.0
2023-03-01,3015.1799224204337,3075.066132134472,3007.9209879096416,3072.07177734375,1669307,0.0,0.0
2023-03-02,3049.660333125586,3057.735810408069,3010.643554094226,3013.77392578125,1556538,0.0,0.0
2023-03-03,3043.3085385632116,3046.938006110693,3022.5299254639276,3032.55615234375,1043190,0.0,0.0
2023-03-06,3050.476892626339,3089.539084539037,3047.8456170537634,3059.50537109375,1334132,0.0,0.0
2023-03-08,3052.382029970596,3081.4177686623493,3022.3029080296496,3076.33642578125,1844590,0.0,0.0
2023-03-09,3071.436941869971,3071.436941869971,3022.303113079057,3027.747314453125,1648500,0.0,0.0
2023-03-10,3006.0157791306688,3028.110252231494,2985.2371652832767,3022.439208984375,1024404,0.0,0.0
2023-03-13,3024.2542354990196,3057.6453856745457,2968.9048480506426,2977.93310546875,1901233,0.0,0.0
2023-03-14,2976.1636701703733,2998.3033356920723,2912.103473293845,2917.139404296875,2670334,0.0,0.0
2023-03-15,2948.9422175317536,2958.3335528960897,2896.314941034264,2902.57568359375,1780522,0.0,0.0
2023-03-16,2910.833062083006,2921.540035980481,2878.1678531568878,2889.963623046875,1901060,0.0,0.0
2023-03-17,2858.659052089655,2922.991268444911,2852.7611679955166,2884.791259765625,6739966,0.0,0.0
2023-03-20,2876.0356962978067,2876.0356962978067,2808.346251639935,2852.126708984375,2289468,0.0,0.0
2023-03-21,2852.1263176035486,2864.3303576607777,2810.523458137798,2818.372314453125,1815297,0.0,0.0
