Date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2026-03-31,0.0,0.249319,200330000000.0,0.0,0.0,137180000000.0,14060000000.0,415870000000.0,200330000000.0,186270000000.0,-2650000000.0,2650000000.0,,137180000000.0,137180000000.0,528280000000.0,3615709014.0,3615709014.0,37.94,37.94,137180000000.0,137180000000.0,0.0,137180000000.0,-660000000.0,137840000000.0,137840000000.0,45780000000.0,183620000000.0,7570000000.0,0.0,,,0.0,-2650000000.0,2650000000.0,,178700000000.0,112410000000.0,98350000000.0,14060000000.0,14060000000.0,,,291110000000.0,415870000000.0,706980000000.0,706980000000.0
2025-12-31,-8088491262.963489,0.238528,193870000000.0,-33910000000.0,-33910000000.0,106570000000.0,13800000000.0,397920000000.0,159960000000.0,146160000000.0,-5380000000.0,5380000000.0,,132391508737.03651,106570000000.0,501980000000.0,3618675722.0,3618675722.0,29.45,29.45,106570000000.0,106570000000.0,0.0,106570000000.0,-630000000.0,107200000000.0,107200000000.0,33580000000.0,140780000000.0,11180000000.0,-33910000000.0,31380000000.0,,2530000000.0,-5380000000.0,5380000000.0,,168890000000.0,104060000000.0,90260000000.0,13800000000.0,13800000000.0,,,272950000000.0,397920000000.0,670870000000.0,670870000000.0
2025-06-30,298910418.752577,0.245009,184130000000.0,1220000000.0,1220000000.0,127600000000.0,13610000000.0,352990000000.0,185350000000.0,171740000000.0,12240000000.0,1950000000.0,14190000000.0,126678910418.75258,127600000000.0,478980000000.0,3618087518.0,3618087518.0,35.27,35.27,127600000000.0,127600000000.0,0.0,127600000000.0,-590000000.0,128190000000.0,128190000000.0,41600000000.0,169790000000.0,220000000.0,-130000000.0,-120000000.0,250000000.0,,12240000000.0,1950000000.0,14190000000.0,155390000000.0,125990000000.0,42370000000.0,13610000000.0,13610000000.0,38590000000.0,38590000000.0,281380000000.0,352990000000.0,634370000000.0,634370000000.0
2025-03-31,0.0,0.250518,180080000000.0,0.0,0.0,122240000000.0,13790000000.0,395100000000.0,180080000000.0,166290000000.0,-2270000000.0,2270000000.0,,122240000000.0,122240000000.0,488780000000.0,3617638355.0,3617638355.0,33.79,33.79,122240000000.0,122240000000.0,0.0,122240000000.0,-690000000.0,122930000000.0,122930000000.0,41090000000.0,164020000000.0,10280000000.0,0.0,,,0.0,-2270000000.0,2270000000.0,,156010000000.0,93680000000.0,79890000000.0,13790000000.0,13790000000.0,,,249690000000.0,395100000000.0,644790000000.0,644790000000.0
2024-12-31,0.0,0.25333,182770000000.0,0.0,0.0,123800000000.0,13770000000.0,394750000000.0,182770000000.0,169000000000.0,-2340000000.0,2340000000.0,,123800000000.0,123800000000.0,483160000000.0,3618824905.0,3618824905.0,34.21,34.21,123800000000.0,123800000000.0,0.0,123800000000.0,-640000000.0,124440000000.0,124440000000.0,42220000000.0,166660000000.0,12430000000.0,0.0,,,0.0,-2340000000.0,2340000000.0,,156570000000.0,88410000000.0,74640000000.0,13770000000.0,13770000000.0,,,244980000000.0,394750000000.0,639730000000.0,639730000000.0
