Date,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2026-03-31,13532472634.0,13532472634.0,2370940000000.0,3980000000000.0,4849230000000.0,12784510000000.0,529950000000.0,4849230000000.0,235790000000.0,9040300000000.0,11747810000000.0,10858660000000.0,1818360000000.0,9040300000000.0,6730000000.0,4636440000000.0,942210000000.0,135320000000.0,135320000000.0,10922740000000.0,5510200000000.0,1064840000000.0,378330000000.0,979610000000.0,2869490000000.0,161980000000.0,2707510000000.0,217930000000.0,5412540000000.0,20000000.0,1110510000000.0,73810000000.0,1036700000000.0,51980000000.0,2528020000000.0,937780000000.0,1820000000.0,1588420000000.0,21781400000000.0,15838910000000.0,395880000000.0,105610000000.0,5940000000.0,1390960000000.0,1176570000000.0,214390000000.0,162260000000.0,96480000000.0,65780000000.0,4191070000000.0,3906450000000.0,284620000000.0,9578930000000.0,-3181180000000.0,12760110000000.0,2068060000000.0,1038420000000.0,7508410000000.0,1105480000000.0,1039740000000.0,0.0,5942490000000.0,281930000000.0,86500000000.0,498920000000.0,1669410000000.0,126540000000.0,547810000000.0,664460000000.0,330600000000.0,48700000000.0,584910000000.0,2772120000000.0,1398850000000.0,1373270000000.0,38750000000.0,1334520000000.0
2025-03-31,13532871488.0,13532871488.0,2468850000000.0,3695750000000.0,4342610000000.0,11907300000000.0,455330000000.0,4342610000000.0,220450000000.0,8432000000000.0,10800990000000.0,10096260000000.0,1664260000000.0,8432000000000.0,7900000000.0,3919430000000.0,931480000000.0,135320000000.0,135320000000.0,9404930000000.0,4867580000000.0,1100510000000.0,109090000000.0,834530000000.0,2540410000000.0,171420000000.0,2368990000000.0,283040000000.0,4537370000000.0,20000000.0,1155340000000.0,49030000000.0,1106310000000.0,41470000000.0,2710490000000.0,840910000000.0,,1867890000000.0,19501210000000.0,14508510000000.0,371970000000.0,123540000000.0,4080000000.0,1135860000000.0,1029840000000.0,106020000000.0,156830000000.0,90670000000.0,66160000000.0,4089390000000.0,3844090000000.0,245300000000.0,8619420000000.0,-2821570000000.0,8528120000000.0,1788400000000.0,952830000000.0,6615370000000.0,1063510000000.0,1020880000000.0,0.0,4992700000000.0,200690000000.0,58570000000.0,411870000000.0,1460620000000.0,117280000000.0,503050000000.0,601890000000.0,238400000000.0,51820000000.0,421210000000.0,2387920000000.0,1381470000000.0,1006450000000.0,541600000000.0,464850000000.0
2024-03-31,13532218028.0,13532218028.0,2310820000000.0,3461420000000.0,4331070000000.0,11181030000000.0,727330000000.0,4331070000000.0,215200000000.0,7934810000000.0,10161930000000.0,9257880000000.0,1323070000000.0,7934810000000.0,7800000000.0,3397870000000.0,998460000000.0,67660000000.0,67660000000.0,8301980000000.0,4328310000000.0,1127520000000.0,56670000000.0,722410000000.0,2401270000000.0,174150000000.0,2227120000000.0,20440000000.0,3973670000000.0,20000000.0,1060150000000.0,41050000000.0,1019100000000.0,21750000000.0,2613090000000.0,827620000000.0,1700000000.0,1783770000000.0,17559860000000.0,12858860000000.0,267840000000.0,77640000000.0,9380000000.0,1035610000000.0,980240000000.0,55370000000.0,180730000000.0,101410000000.0,79320000000.0,3603740000000.0,3453850000000.0,149890000000.0,7674930000000.0,-2499930000000.0,10174860000000.0,1614090000000.0,887600000000.0,5979680000000.0,820620000000.0,872870000000.0,0.0,4701000000000.0,146510000000.0,36850000000.0,535390000000.0,1527700000000.0,102100000000.0,528000000000.0,589360000000.0,308240000000.0,25170000000.0,316280000000.0,2113100000000.0,1177700000000.0,935400000000.0,195280000000.0,740120000000.0
2023-03-31,13532188028.0,13532188028.0,2798100000000.0,3343920000000.0,3850770000000.0,10298380000000.0,295530000000.0,3850770000000.0,204260000000.0,7158720000000.0,8990480000000.0,8288810000000.0,1130090000000.0,7158720000000.0,6460000000.0,2957390000000.0,998360000000.0,67660000000.0,67660000000.0,7785500000000.0,3828070000000.0,1137660000000.0,77040000000.0,603240000000.0,1994060000000.0,162300000000.0,1831760000000.0,16070000000.0,3957430000000.0,20000000.0,1349860000000.0,41960000000.0,1307900000000.0,21780000000.0,2353090000000.0,879500000000.0,1870000000.0,1471720000000.0,16074310000000.0,11821350000000.0,257830000000.0,83900000000.0,15490000000.0,1054600000000.0,1002500000000.0,52100000000.0,136460000000.0,62110000000.0,74350000000.0,3307950000000.0,3155250000000.0,152700000000.0,6949870000000.0,-2240410000000.0,9190280000000.0,1244840000000.0,707440000000.0,5743560000000.0,697470000000.0,796970000000.0,0.0,4252960000000.0,120840000000.0,345080000000.0,488390000000.0,1400080000000.0,58910000000.0,545390000000.0,512820000000.0,282960000000.0,1760000000.0,284480000000.0,1612330000000.0,1270770000000.0,341560000000.0,301840000000.0,39720000000.0
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
