Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0,BBU_20_2.0,BBL_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,OBV
2023-01-02,791.4988568756722,801.266823744217,790.860725302746,798.6162109375,1626846,0.0,0.0,,,798.6162109375,0.0,0.0,0.0,0.0,,,,,,10.406098441471045,0.0
2023-01-03,795.5238202464974,803.8192311116688,793.7076917960417,802.6411743164062,1717603,0.0,0.0,,,798.9995407831101,99.99999996521707,0.32107969974185835,0.06421593994837167,0.2568637597934867,,,,,,10.385058503910768,1717603.0
2023-01-04,803.9665345044845,805.4390905625847,791.4498080106325,796.9473266601562,2970216,0.0,0.0,,,798.8040918190193,39.62826529226845,0.11476877169354793,0.07432650629740692,0.040442265396141014,,,,,,10.642503078770872,-1252613.0
2023-01-05,809.9057770219532,809.9057770219532,789.044567613812,792.333251953125,5297349,0.0,0.0,,,798.1878213556008,25.954053283517226,-0.4162530861326559,-0.02378941218860564,-0.39246367394405024,,,,,,11.372410673725899,-6549962.0
2023-01-06,792.7750708354946,797.3890917217311,777.5095852799152,781.4364013671875,3199618,0.0,0.0,,,796.5924480233709,13.8229687216392,-1.6968166615283735,-0.35839486205655924,-1.3384217994718144,,,,,,11.980060371446616,-9749580.0
2023-01-09,788.0138555224498,806.4698797397402,786.3940198672135,804.4083251953125,4340729,0.0,0.0,,,797.3368172778416,58.189766591917056,-0.8482521299050632,-0.45636631562626007,-0.3918858142788031,,,,,,12.912447371525625,-5408851.0
2023-01-10,810.9856522122543,810.9856522122543,775.8406609188231,778.343994140625,8392344,0.0,0.0,,,795.5279769790591,35.719576188565455,-2.252961573823086,-0.8156853672656252,-1.4372762065574607,,,,,,14.50048622309031,-13801195.0
2023-01-11,760.8205714670228,765.3855188632068,737.8978078940756,751.54345703125,28389020,0.0,0.0,,,791.3389750792677,25.020647725618062,-5.465777214406103,-1.745703736693721,-3.720073477712382,,,,,,16.353750510480243,-42190215.0
2023-01-12,751.0035976792288,755.2249131073286,739.7630743315797,743.0518188476562,12732671,0.0,0.0,,,786.7401982953047,22.700565730955574,-8.598048044729012,-3.1161725983007793,-5.481875446428233,,,,,,16.290042529428007,-54922886.0
2023-01-13,743.1499180940611,751.9361807606347,738.2413981594901,750.3163452148438,12279288,0.0,0.0,,,783.2712599066895,28.784439423470673,-10.37461655720358,-4.56786139008134,-5.80675516712224,,,,,,16.104666820264903,-42643598.0
2023-01-16,752.3779741606388,754.0468230360615,740.8429520902176,745.2606201171875,5779293,0.0,0.0,,,779.6511989743559,27.18107817275903,-12.051591421693843,-6.064607396403841,-5.986984025290002,,,,,,15.897467114949112,-48422891.0
2023-01-17,745.2606464159657,754.8322608121636,744.8679408323276,751.6907958984375,6594428,0.0,0.0,,,776.9883034433161,32.34298893851948,-12.715172048967588,-7.394720326916591,-5.320451722050997,,,,,,15.47367089101246,-41828463.0
2023-01-18,754.1450197432637,765.7291148821483,751.9852589740073,762.3422241210938,5800899,0.0,0.0,,,775.5934387459616,39.93811349242971,-12.240482573383701,-8.363872776210014,-3.8766097971736873,,,,,,15.37114575477663,-36027564.0
2023-01-19,761.8023042827073,762.2931562828894,751.6416918463194,757.87548828125,4169463,0.0,0.0,,,773.9060148921795,38.01103714974891,-12.085402993430534,-9.10817881965412,-2.977224173776415,,,,,,15.037530506205037,-40197027.0
2023-01-20,761.6550125207739,761.6550125207739,744.4261195739152,750.463623046875,6289718,0.0,0.0,,,771.6734061450077,34.99370431211963,-12.41743641252367,-9.77003033822803,-2.64740607429564,,,,,,15.194056394823154,-46486745.0
2023-01-23,753.8505766052888,761.8023555762649,749.8746272013396,758.562744140625,2685320,0.0,0.0,,,770.4247716683998,40.547368820300676,-11.889983574847065,-10.194020985551838,-1.6959625892952275,,,,,,14.96074725054473,-43801425.0
2023-01-24,758.8572006373812,763.3239419045307,747.0767525032951,761.458740234375,5012125,0.0,0.0,,,769.5708639127783,42.44094440072862,-11.110219029874315,-10.377260594416333,-0.7329584354579826,,,,,,15.052635975594075,-38789300.0
2023-01-25,760.7715835607559,766.2200291836868,753.9487282678687,762.293212890625,6560514,0.0,0.0,,,768.8777542916209,43.0042612912071,-10.306112590096518,-10.363030993552371,0.056918403455853195,,,,,,14.853969185610083,-32228786.0
2023-01-27,760.7714906767867,764.6492332764369,751.788875535727,760.3297119140625,6745926,0.0,0.0,,,768.0636550175677,41.963585628590984,-9.715298647203213,-10.23348452428254,0.5181858770793273,,,,,,14.711568368117215,-38974712.0
