source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,HDFC Bank probe into ₹45 cr MSRDC payments sparks scrutiny - MSN,HDFC Bank probe into ₹45 cr MSRDC payments sparks scrutiny  MSN,2026-05-28 05:48:35,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"'Marketing expenses' a standard practice, says MSRDC amid HDFC Bank deposit row: Report - Moneycontrol.com","'Marketing expenses' a standard practice, says MSRDC amid HDFC Bank deposit row: Report  Moneycontrol.com",2026-05-28 05:31:57,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Inside the HDFC Bank Scandal That Triggered a Market Crash - The Probe,Inside the HDFC Bank Scandal That Triggered a Market Crash  The Probe,2026-05-28 05:02:25,,0.0,0.348,0.652,-0.8807,Negative
GoogleNews,HDFC Bank ‘camouflaged’ crores as marketing spend to pay higher interest to state firm - The Indian Express,HDFC Bank ‘camouflaged’ crores as marketing spend to pay higher interest to state firm  The Indian Express,2026-05-28 01:02:00,,0.151,0.07,0.779,0.6369,Positive
GoogleNews,Why row over marketing spend raises questions on HDFC Bank’s governance and code of ethics - The Indian Express,Why row over marketing spend raises questions on HDFC Bank’s governance and code of ethics  The Indian Express,2026-05-28 00:01:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,HDFC Bank denies allegations of disguising interest payout - The Economic Times,HDFC Bank denies allegations of disguising interest payout  The Economic Times,2026-05-27 22:56:52,,0.181,0.307,0.512,-0.4939,Negative
GoogleNews,HDFC Bank shares fall over 2% amid ‘camouflaged’ payments probe - The Indian Express,HDFC Bank shares fall over 2% amid ‘camouflaged’ payments probe  The Indian Express,2026-05-27 20:43:00,,0.15,0.0,0.85,0.5267,Positive
GoogleNews,HDFC Bank denies wrongdoing after report on $4.7 million deposit payment - PRESS Insider,HDFC Bank denies wrongdoing after report on $4.7 million deposit payment  PRESS Insider,2026-05-27 16:50:50,,0.0,0.183,0.817,-0.6808,Negative
GoogleNews,HDFC Bank Shares Fall 2% After Report Alleges Improper Payments to Secure Deposits. - Studycafe,HDFC Bank Shares Fall 2% After Report Alleges Improper Payments to Secure Deposits.  Studycafe,2026-05-27 15:27:07,,0.269,0.0,0.731,0.802,Positive
GoogleNews,HDFC Bank may face regulatory scrutiny for alleged violation of RBI directions on deposits rates - BusinessLine,HDFC Bank may face regulatory scrutiny for alleged violation of RBI directions on deposits rates  BusinessLine,2026-05-27 15:15:35,,0.0,0.171,0.829,-0.7506,Negative
GoogleNews,"HDFC Bank camouflage payment probe: CEO, CFO & CMO were allegedly aware - Exchange4Media","HDFC Bank camouflage payment probe: CEO, CFO & CMO were allegedly aware  Exchange4Media",2026-05-27 15:01:11,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,HDFC Bank faces allegations over Rs 45 crore payments routed via marketing budget: Report - Exchange4Media,HDFC Bank faces allegations over Rs 45 crore payments routed via marketing budget: Report  Exchange4Media,2026-05-27 14:02:57,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"HDFC Bank Shares Drop: Market Cap Erodes Rs 31,331 Cr - Rediff MoneyWiz","HDFC Bank Shares Drop: Market Cap Erodes Rs 31,331 Cr  Rediff MoneyWiz",2026-05-27 13:59:45,,0.149,0.142,0.709,0.0516,Positive
GoogleNews,Why Investors Are Worried About HDFC Bank’s Internal Probe - Outlook Money,Why Investors Are Worried About HDFC Bank’s Internal Probe  Outlook Money,2026-05-27 13:34:01,,0.0,0.173,0.827,-0.5267,Negative
GoogleNews,HDFC Bank denies wrongdoing in Rs 45 crore MSRDC payment case - Telangana Today,HDFC Bank denies wrongdoing in Rs 45 crore MSRDC payment case  Telangana Today,2026-05-27 13:26:23,,0.0,0.183,0.817,-0.6808,Negative
GoogleNews,"HDFC Bank Rejects Wrongdoing Allegations, Shares Slip - Rediff MoneyWiz","HDFC Bank Rejects Wrongdoing Allegations, Shares Slip  Rediff MoneyWiz",2026-05-27 13:01:23,,0.171,0.248,0.581,-0.4588,Negative
GoogleNews,HDFC Bank denies any wrongdoing in alleged unfair deposit pricing for MSRDC - The New Indian Express,HDFC Bank denies any wrongdoing in alleged unfair deposit pricing for MSRDC  The New Indian Express,2026-05-27 12:43:52,,0.0,0.289,0.711,-0.8957,Negative
GoogleNews,"HDFC Bank denies inappropriate payments allegation, shares fall - Business Standard","HDFC Bank denies inappropriate payments allegation, shares fall  Business Standard",2026-05-27 12:39:47,,0.163,0.207,0.63,-0.296,Negative
