Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_50,SMA_200,EMA_20,RSI_14,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,BBM_20_2.0,BBU_20_2.0,BBL_20_2.0,BBB_20_2.0,BBP_20_2.0,ATRr_14,OBV
2023-01-02,2410.961380200328,2437.640051210741,2407.651152303148,2410.71435546875,162920,0.0,0.0,,,2410.71435546875,0.0,0.0,0.0,0.0,,,,,,29.98889890759301,0.0
2023-01-03,2411.011028658502,2423.806862543538,2399.1043873851245,2413.62939453125,356701,0.0,0.0,,,2410.9919782366073,99.9999999519732,0.23253872863278957,0.046507745726557914,0.18603098290623166,,,,,,29.611297211223054,356701.0
2023-01-04,2420.5463042001006,2453.8946486484374,2370.449728342514,2380.627197265625,590726,0.0,0.0,,,2408.1000943346094,7.5802193484544205,-2.220576735692248,-0.4069091505572032,-1.8136675851350446,,,,,,33.45655600370166,-234025.0
2023-01-05,2378.8483899894936,2416.297246343051,2347.0811029993592,2411.1591796875,347565,0.0,0.0,,,2408.3914357967897,51.88455726651442,-1.6816278409178267,-0.661852888629328,-1.0197749522884987,,,,,,36.01081224227238,113540.0
2023-01-06,2406.218659840334,2427.8087196933257,2371.437622950745,2387.19775390625,203880,0.0,0.0,,,2406.3729899024524,36.924376918813536,-3.1516633521669064,-1.1598149813368437,-1.9918483708300627,,,,,,37.46511827800867,-90340.0
2023-01-09,2399.153836406471,2441.9385715533936,2396.634135697677,2435.318115234375,291084,0.0,0.0,,,2409.1296685054926,61.150538993455406,-0.42882288207374586,-1.013616561484224,0.5847936794104782,,,,,,38.69909680437544,200744.0
2023-01-10,2440.5059561790363,2458.390647010265,2378.848666670905,2390.162353515625,341404,0.0,0.0,,,2407.3232575540765,44.05203764323736,-1.8928254670336173,-1.1894583425941028,-0.7033671244395145,,,,,,41.61644562830292,-140660.0
2023-01-11,2400.0925745549184,2429.6860926347454,2359.629967006131,2366.44775390625,327925,0.0,0.0,,,2403.4303524447596,38.03684486758202,-4.910028310504913,-1.933572336176265,-2.976455974328648,,,,,,43.64785134261086,-468585.0
2023-01-12,2372.425751157872,2382.603219328645,2325.145116474362,2336.26123046875,283433,0.0,0.0,,,2397.033293208949,32.03959025365184,-9.626020689316192,-3.4720620068042507,-6.1539586825119414,,,,,,44.63429787915887,-752018.0
2023-01-13,2343.820208526705,2356.616041932948,2334.7789582159653,2339.02783203125,331339,0.0,0.0,,,2391.508963572978,33.08098585501013,-12.990490711155417,-5.375747747674485,-7.614742963480932,,,,,,43.00592543900344,-420679.0
2023-01-16,2348.118605646308,2352.169908451914,2326.4793318420634,2333.297119140625,180024,0.0,0.0,,,2385.964978388944,31.987564281786447,-15.93558260317468,-7.487714718774525,-8.447867884400155,,,,,,41.76911480834968,-600703.0
2023-01-17,2333.889906731205,2343.47441906644,2298.713484801244,2318.080322265625,231181,0.0,0.0,,,2379.499773043866,29.225287094368,-19.275264233922826,-9.845224621804185,-9.430039612118641,,,,,,41.98281619812444,-831884.0
2023-01-18,2320.254135796812,2341.7947432858746,2302.270781373877,2336.854248046875,217218,0.0,0.0,,,2375.438294472724,36.509932410673706,-20.174527680204847,-11.911085233484318,-8.263442446720529,,,,,,41.80718374911537,-614666.0
2023-01-19,2329.443676327195,2389.2236731109897,2325.244255065524,2362.693115234375,422029,0.0,0.0,,,2374.2244678785955,44.91374903935888,-18.587949491478412,-13.246458085083137,-5.341491406395274,,,,,,43.39091477028324,-192637.0
2023-01-20,2364.520969187249,2374.4019594471206,2322.576213781117,2327.566162109375,199568,0.0,0.0,,,2369.780819710098,37.62294731777599,-19.935225524624457,-14.584211572991403,-5.351013951633053,,,,,,43.99340269140612,-392205.0
2023-01-23,2321.094261826708,2335.866295269307,2262.746961153432,2295.798828125,305955,0.0,0.0,,,2362.7349157496124,32.48689789574125,-23.297747913738476,-16.326918841140817,-6.97082907259766,,,,,,46.07382636458247,-698160.0
