Stock,Max_Sharpe_Weight,Min_Volatility_Weight
DLF,0.0320043552308344,0.12335932469047675
TCS,0.023900486172919004,0.4431246928130736
BHARTIARTL,0.9440951585962466,0.4335159824964496
